source_id,question_id,text
kesennuma_Q21_001,Q21,子どもを預けられる場所が少なく、共働きだと急な残業時に対応できない。一時保育の枠をもっと増やしてほしい。
kesennuma_Q21_002,Q21,内湾地区の復興は進んだが、鹿折方面のバス便が減って通院が大変。高齢の母を毎回車で送迎している。
kesennuma_Q21_003,Q21,水産加工場で働いているが、繁忙期の時給が最低賃金ギリギリ。若い人が仙台に出て行くのも無理はない。
kesennuma_Q21_004,Q21,防災無線が聞き取りにくい地域がある。津波警報の時に窓を閉めていたら何も聞こえなかった。スマホ連携にしてほしい。
kesennuma_Q21_005,Q21,市役所の手続きが平日しかできない。マイナンバーカードでオンライン申請できると聞いたが、やり方がわからない。
kesennuma_Q21_006,Q21,産婦人科が市内に1か所しかなく、検診のたびに半日つぶれる。オンライン相談だけでも選択肢がほしい。
kesennuma_Q21_007,Q21,小学校の統廃合で子どもの通学距離が長くなった。冬場の暗い時間帯の見守りが心配。
kesennuma_Q21_008,Q21,町内会の役員がいつも同じ男性ばかり。女性が意見を言いにくい雰囲気がある。
kesennuma_Q21_009,Q21,空き家が増えて治安が不安。隣の空き家の屋根が台風で飛びそうで怖い。
kesennuma_Q21_010,Q21,UIJターンで戻ってきたが、リモートワークできる場所がカフェくらいしかない。コワーキングスペースがほしい。
kesennuma_Q21_011,Q21,介護と仕事の両立がきつい。デイサービスの送迎時間が仕事の時間と合わない。
kesennuma_Q21_012,Q21,中学生の子どもが不登校気味。スクールカウンセラーが週1回しか来ない。相談窓口が足りない。
kesennuma_Q21_013,Q21,魚市場の朝が早いのに、保育園の開園が7時半。もう少し早く預けられないと仕事に間に合わない。
kesennuma_Q21_014,Q21,災害公営住宅に住んでいるが、近所付き合いがなく孤立している。コミュニティの場がほしい。
kesennuma_Q21_015,Q21,高校を卒業すると進学先が市外にしかない。地元に専門学校や大学のサテライトがあればいいのに。
kesennuma_Q28_001,Q28,市の広報をLINEで配信してほしい。紙の広報誌は読まないし、ホームページも見にくい。
kesennuma_Q28_002,Q28,気仙沼の食を活かした体験型観光をもっと推進すべき。フカヒレだけでなくカツオやサンマの加工体験もできると面白い。
kesennuma_Q28_003,Q28,女性が起業しやすい支援制度を作ってほしい。補助金の情報が男性向けの業種に偏っている気がする。
kesennuma_Q28_004,Q28,中高生が放課後に安全に過ごせる居場所を作ってほしい。図書館は17時で閉まるし、コンビニの前にたむろするしかない。
kesennuma_Q28_005,Q28,高齢者の買い物支援として移動販売車の補助を出してはどうか。大島地区は特に店が少ない。
kesennuma_Q28_006,Q28,防災訓練を土日にもやってほしい。平日の訓練は仕事で参加できない人が多すぎる。
kesennuma_Q28_007,Q28,市の予算の使い道をもっとわかりやすく公開してほしい。グラフや図で見られるダッシュボードがあるといい。
kesennuma_Q28_008,Q28,再生可能エネルギーの導入を進めてほしい。漁港の屋根にソーラーパネルを設置するなど、水産業との両立を考えられないか。
kesennuma_Q28_009,Q28,保育士の待遇改善が急務。市独自の手当を出さないと、保育士が仙台に流出し続ける。
kesennuma_Q28_010,Q28,外国人技能実習生が増えているが、日本語教室が少ない。多文化共生の取り組みを強化すべき。
kesennuma_Q28_011,Q28,空き家をリノベーションして若者向けシェアハウスにできないか。家賃補助付きなら移住者も増えると思う。
kesennuma_Q28_012,Q28,市議会のライブ配信をやってほしい。何が議論されているのか市民に見えない。
kesennuma_Q28_013,Q28,子育て世帯向けの情報を一元化したポータルサイトがほしい。今は保育園、学校、病院の情報がバラバラ。
kesennuma_Q28_014,Q28,唐桑半島の自然を活かしたトレイルコースを整備すれば、アウトドア観光の目玉になる。
kesennuma_Q28_015,Q28,高校生や大学生がまちづくりに参加できる「若者議会」を設置してほしい。若者の意見が市政に反映されていない。
